iter	Passed	Remaining
0	143	143175
1	144	72341
2	146	48722
3	148	37033
4	150	29998
5	153	25401
6	155	22112
7	158	19649
8	161	17770
9	178	17634
10	180	16258
11	183	15145
12	186	14141
13	188	13269
14	190	12518
15	193	11879
16	195	11321
17	198	10806
18	200	10377
19	203	9979
20	205	9597
21	210	9365
22	213	9061
23	216	8795
24	219	8557
25	222	8324
26	224	8099
27	227	7906
28	230	7708
29	232	7526
30	235	7366
31	238	7209
32	241	7064
33	244	6934
34	246	6807
35	250	6696
36	253	6587
37	256	6483
38	258	6380
39	261	6276
40	265	6198
41	268	6120
42	271	6035
43	274	5960
44	277	5890
45	280	5817
46	283	5738
47	286	5673
48	289	5609
49	292	5548
50	295	5497
51	299	5451
52	302	5405
53	305	5353
54	310	5336
55	313	5293
56	317	5244
57	320	5206
58	324	5176
59	327	5134
60	330	5088
61	333	5052
62	337	5019
63	341	4987
64	344	4952
65	347	4920
66	350	4884
67	354	4852
68	357	4819
69	361	4799
70	364	4774
71	367	4742
72	371	4715
73	374	4683
74	377	4649
75	380	4622
76	383	4600
77	387	4576
78	389	4545
79	393	4521
80	396	4502
81	400	4482
82	403	4458
83	406	4435
84	411	4425
85	414	4401
86	417	4382
87	420	4361
88	424	4343
89	428	4329
90	432	4315
91	435	4294
92	438	4277
93	442	4260
94	445	4240
95	447	4218
96	450	4197
97	453	4178
98	457	4161
99	459	4139
100	462	4118
101	465	4100
102	468	4083
103	472	4067
104	475	4050
105	477	4030
106	480	4008
107	483	3989
108	485	3967
109	487	3948
110	490	3930
111	493	3913
112	497	3901
113	501	3895
114	504	3882
115	507	3864
116	510	3851
117	513	3838
118	516	3822
119	519	3808
120	522	3797
121	526	3785
122	528	3768
123	531	3754
124	534	3741
125	537	3727
126	539	3711
127	544	3708
128	547	3699
129	550	3686
130	553	3671
131	556	3656
132	558	3643
133	561	3628
134	564	3614
135	566	3598
136	569	3585
137	572	3574
138	574	3560
139	577	3546
140	580	3534
141	582	3522
142	586	3512
143	589	3502
144	592	3491
145	594	3480
146	597	3468
147	603	3474
148	607	3466
149	610	3457
150	613	3449
151	617	3443
152	620	3433
153	622	3422
154	626	3413
155	629	3405
156	632	3394
157	634	3382
158	637	3373
159	640	3364
160	644	3358
161	648	3355
162	652	3349
163	655	3341
164	658	3334
165	662	3326
166	665	3317
167	667	3307
168	671	3300
169	674	3290
170	677	3283
171	679	3272
172	682	3262
173	685	3256
174	688	3246
175	691	3236
176	693	3225
